class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
0,Affection,0,0.5172443682405402,0.2694094226940942,0.7048611111111112,0.1665299425758818,1219.0,288.0,203.0,85.0,1016.0,4123.0,0.3770843796011737,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,5756.0,0.3216188770132208,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,5853.0,0.2505591594735637,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6410.0,0.220407678072099,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6520.0,0.2003726240050812,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6532.0,0.1518453790773745,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6545.0,0.1544331865647599,0.0,0.0,0.0,1219,0,0,0,1219,6546
1,Anger,0,0.1767254747342978,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,5250.0,0.1162337355389141,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6798.0,0.0844882642175993,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6895.0,0.0422643962354456,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7452.0,0.0347317530061426,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7562.0,0.0330770224312274,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7574.0,0.0298427353153736,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7587.0,0.0277922814163444,0.0,0.0,0.0,177,0,0,0,177,7588
2,Annoyance,0,0.2637539603731514,0.062111801242236,0.6818181818181818,0.0325379609544468,461.0,22.0,15.0,7.0,446.0,4959.0,0.2050614596561799,0.0086206896551724,0.6666666666666666,0.0043383947939262,461.0,3.0,2.0,1.0,459.0,6513.0,0.170516253683568,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6611.0,0.0974634157585073,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7168.0,0.0841180126390398,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7278.0,0.0754319766557264,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7290.0,0.0685968646722196,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7303.0,0.0631548823356883,0.0,0.0,0.0,461,0,0,0,461,7304
3,Anticipation,0,0.9421091486466272,0.9002406475607089,0.8805906270062058,0.9207876482434548,4469.0,4673.0,4115.0,558.0,354.0,400.0,0.7284226185709034,0.7292901001831305,0.7031574574158703,0.7574401432087715,4469.0,4814.0,3385.0,1429.0,1084.0,1077.0,0.6998214737160976,0.4108664201896801,0.7294520547945206,0.2859700156634593,4469.0,1752.0,1278.0,474.0,3191.0,2129.0,0.6849730127917623,0.1791930379746835,0.7717206132879046,0.1013649586037144,4469.0,587.0,453.0,134.0,4016.0,3026.0,0.6535870673777816,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3270.0,0.6383344173136439,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3282.0,0.6231027325975645,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3295.0,0.6031772967601109,0.0,0.0,0.0,4469,0,0,0,4469,3296
4,Aversion,0,0.1250114503103207,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,5148.0,0.0994455271430942,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6696.0,0.0827428806830912,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6793.0,0.0612410745252712,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7350.0,0.0521214954846222,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7460.0,0.0468047762047592,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7472.0,0.0416951937416485,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7485.0,0.0373864020337867,0.0,0.0,0.0,279,0,0,0,279,7486
5,Confidence,1,,,,,,,,,,,0.853056705619247,0.783246893042372,0.6807280149685321,0.9221198156682028,4340.0,5879.0,4002.0,1877.0,338.0,758.0,0.8471679539753563,0.6667598155651809,0.8470003549875754,0.5497695852534562,4340.0,2817.0,2386.0,431.0,1954.0,2301.0,0.8211320597136569,0.472745971888927,0.923025435073628,0.317741935483871,4340.0,1494.0,1379.0,115.0,2961.0,3174.0,0.7998960954647573,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3399.0,0.7692939373761292,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3411.0,0.7065043387004907,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3424.0,0.6515263129506099,0.0,0.0,0.0,4340,0,0,0,4340,3425
6,Disapproval,1,,,,,,,,,,,0.1647284675808636,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,6544.0,0.1397923681868748,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,6641.0,0.0892419504261638,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7198.0,0.0778155861846515,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7308.0,0.0703680884099364,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7320.0,0.0637231298300147,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7333.0,0.059384511139388,0.0,0.0,0.0,431,0,0,0,431,7334
7,Disconnection,1,,,,,,,,,,,0.3490622695445101,0.1303581914268937,0.4236641221374045,0.077029840388619,1441.0,262.0,111.0,151.0,1330.0,5383.0,0.3047840233460219,0.0013840830449826,0.25,0.0006939625260235,1441.0,4.0,1.0,3.0,1440.0,5628.0,0.2230161080367294,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6188.0,0.2025974562971952,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6298.0,0.183861010653413,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6310.0,0.1645452843967363,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6323.0,0.1495526501500505,0.0,0.0,0.0,1441,0,0,0,1441,6324
8,Disquietment,2,,,,,,,,,,,,,,,,,,,,,0.1322629029788135,0.1815725479600108,0.1290322580645161,0.3062898814949863,1097.0,2604.0,336.0,2268.0,761.0,3707.0,0.1359900329706599,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6532.0,0.145541227514594,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6642.0,0.1465431079259202,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6654.0,0.1416817508221673,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6667.0,0.1384437398837813,0.0,0.0,0.0,1097,0,0,0,1097,6668
9,Doubt/Confusion,2,,,,,,,,,,,,,,,,,,,,,0.1701676325642192,0.258048032703117,0.1720613287904599,0.515832482124617,979.0,2935.0,505.0,2430.0,474.0,3663.0,0.1274369202755635,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6650.0,0.1283865994467457,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6760.0,0.1266538551013125,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6772.0,0.1216252557694073,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6785.0,0.1189158401723294,0.0,0.0,0.0,979,0,0,0,979,6786
10,Embarrassment,2,,,,,,,,,,,,,,,,,,,,,0.0237924766614327,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,6912.0,0.0248593455342235,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7469.0,0.024625179511766,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7579.0,0.0230332238771033,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7591.0,0.0230511385204079,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7604.0,0.022200979713513,0.0,0.0,0.0,160,0,0,0,160,7605
11,Engagement,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837356193294917,0.8997547959036493,0.8177766124803356,1.0,6238.0,7628.0,6238.0,1390.0,0.0,1.0,0.8450270610560279,0.8921512460613005,0.8062386746052291,0.9985572298813722,6238.0,7726.0,6229.0,1497.0,9.0,4.0,0.8741457376777447,0.0,0.0,0.0,6238.0,0.0,0.0,0.0,6238.0,1513.0,0.8135891421976624,0.0,0.0,0.0,6238.0,0.0,0.0,0.0,6238.0,1526.0,0.8065334642622636,0.0,0.0,0.0,6238,0,0,0,6238,1527
12,Esteem,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1653815435796286,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6343.0,0.1614698497530611,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6453.0,0.1659866917696691,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6465.0,0.1719338951047229,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6478.0,0.1736920304677231,0.0,0.0,0.0,1286,0,0,0,1286,6479
13,Excitement,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751792528453076,0.2582308607695359,0.868,0.151677539608574,4292.0,750.0,651.0,99.0,3641.0,3238.0,0.7257014720300228,0.0023272050267628,1.0,0.0011649580615097,4292.0,5.0,5.0,0.0,4287.0,3447.0,0.6926863228092024,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3459.0,0.6502352882565453,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3472.0,0.6285665824532225,0.0,0.0,0.0,4292,0,0,0,4292,3473
14,Fatigue,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0866303391467746,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7269.0,0.0727420540216934,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7281.0,0.0674169342753529,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7294.0,0.0615781814289068,0.0,0.0,0.0,470,0,0,0,470,7295
