class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
0,Affection,0,0.5051851678714891,0.3851687880464859,0.5918367346938775,0.2854799015586546,1219.0,588.0,348.0,240.0,871.0,3968.0,0.4122330715222682,0.1847672778561354,0.6582914572864321,0.1074651353568498,1219.0,199.0,131.0,68.0,1088.0,5688.0,0.3935053374201592,0.0016380016380016,0.5,0.0008203445447087,1219.0,2.0,1.0,1.0,1218.0,5852.0,0.2937498389019145,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6410.0,0.2649281002109153,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6520.0,0.2630178909292134,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6532.0,0.2237943947070285,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6545.0,0.2307783345076622,0.0,0.0,0.0,1219,0,0,0,1219,6546
1,Anger,0,0.2168080158485537,0.0333333333333333,1.0,0.0169491525423728,177.0,3.0,3.0,0.0,174.0,5250.0,0.1744984487557858,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6798.0,0.1522389280501485,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6895.0,0.0668735838846718,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7452.0,0.0564307822557366,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7562.0,0.0520792800698367,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7574.0,0.0650267277092085,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7587.0,0.0523146963789465,0.0,0.0,0.0,177,0,0,0,177,7588
2,Annoyance,0,0.2753388576887082,0.0622406639004149,0.7142857142857143,0.0325379609544468,461.0,21.0,15.0,6.0,446.0,4960.0,0.2341210814199434,0.0043290043290043,1.0,0.0021691973969631,461.0,1.0,1.0,0.0,460.0,6514.0,0.2139921623062923,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6611.0,0.1322796304602093,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7168.0,0.1195642027912438,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7278.0,0.1103241196117838,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7290.0,0.1247380632950646,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7303.0,0.1067520182182086,0.0,0.0,0.0,461,0,0,0,461,7304
3,Anticipation,0,0.9364604983120548,0.8774587384128419,0.8866803746858579,0.8684269411501454,4469.0,4377.0,3881.0,496.0,588.0,462.0,0.7183211412112301,0.7005167378117276,0.7033611549740582,0.6976952338330723,4469.0,4433.0,3118.0,1315.0,1351.0,1191.0,0.7062759986509548,0.4356839956023245,0.7307692307692307,0.3103602595658984,4469.0,1898.0,1387.0,511.0,3082.0,2092.0,0.6857800394040414,0.1587047771337197,0.7434456928838952,0.0888341910942045,4469.0,534.0,397.0,137.0,4072.0,3023.0,0.669316470349224,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3270.0,0.6577209909650805,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3282.0,0.6128359285837695,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3295.0,0.6137495050071419,0.0,0.0,0.0,4469,0,0,0,4469,3296
4,Aversion,0,0.1334653506484079,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,5148.0,0.1120269279505659,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6696.0,0.1059747975151544,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6793.0,0.0765520687199074,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7350.0,0.0708433231086377,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7460.0,0.0676112770688778,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7472.0,0.0721537772026705,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7485.0,0.0642391324898627,0.0,0.0,0.0,279,0,0,0,279,7486
5,Confidence,1,,,,,,,,,,,0.8366794533332422,0.7835051546391754,0.660347551342812,0.9631336405529954,4340.0,6330.0,4180.0,2150.0,160.0,485.0,0.8272863836121838,0.6093541202672605,0.85678496868476,0.4728110599078341,4340.0,2395.0,2052.0,343.0,2288.0,2389.0,0.8160503263979795,0.1257265877287405,0.9573770491803278,0.0672811059907834,4340.0,305.0,292.0,13.0,4048.0,3276.0,0.7881018163030811,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3399.0,0.7637055671356018,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3411.0,0.6643254314175872,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3424.0,0.623924886906009,0.0,0.0,0.0,4340,0,0,0,4340,3425
6,Disapproval,1,,,,,,,,,,,0.2057802591286668,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,6544.0,0.1948144463100509,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,6641.0,0.1258357591445857,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7198.0,0.1135509806273022,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7308.0,0.1064478816444103,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7320.0,0.1236539761608755,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7333.0,0.1093424244425618,0.0,0.0,0.0,431,0,0,0,431,7334
7,Disconnection,1,,,,,,,,,,,0.2608605085175745,0.0,0.0,0.0,1441.0,3.0,0.0,3.0,1441.0,5531.0,0.251955812586243,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,5631.0,0.2200717099552924,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6188.0,0.2162629275812582,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6298.0,0.2109253994555534,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6310.0,0.2051394376263134,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6323.0,0.1971516994377277,0.0,0.0,0.0,1441,0,0,0,1441,6324
8,Disquietment,2,,,,,,,,,,,,,,,,,,,,,0.210834319152121,0.0540997464074387,0.3720930232558139,0.0291704649042844,1097.0,86.0,32.0,54.0,1065.0,5921.0,0.1569968268681976,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6532.0,0.1574066261747822,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6642.0,0.1577930277749167,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6654.0,0.1618734640207448,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6667.0,0.1561106970347817,0.0,0.0,0.0,1097,0,0,0,1097,6668
9,Doubt/Confusion,2,,,,,,,,,,,,,,,,,,,,,0.1556105098829318,0.2280017338534894,0.1447042640990371,0.5372829417773238,979.0,3635.0,526.0,3109.0,453.0,2984.0,0.1345908800221807,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6650.0,0.1350308707612177,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6760.0,0.1346093452587236,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6772.0,0.1370674707847317,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6785.0,0.1330025844193149,0.0,0.0,0.0,979,0,0,0,979,6786
