class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
0,Affection,0,0.5172443682405402,0.2694094226940942,0.7048611111111112,0.1665299425758818,1219.0,288.0,203.0,85.0,1016.0,4123.0,0.3916182153665518,0.0443740095087163,0.6511627906976745,0.0229696472518457,1219.0,43.0,28.0,15.0,1191.0,5741.0,0.3759932497197428,0.0065359477124183,0.8,0.0032813781788351,1219.0,5.0,4.0,1.0,1215.0,5852.0,0.2722156684704249,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6410.0,0.2425481921803424,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6520.0,0.1969650764414409,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6532.0,0.1742312613582275,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6545.0,0.1425166157360819,0.0,0.0,0.0,1219,0,0,0,1219,6546
1,Anger,0,0.1767254747342978,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,5250.0,0.1094504456687888,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6798.0,0.0903915742431867,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6895.0,0.0492214812523651,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7452.0,0.0468934347044528,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7562.0,0.0445105836527535,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7574.0,0.0324686999921024,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7587.0,0.0318685657831624,0.0,0.0,0.0,177,0,0,0,177,7588
2,Annoyance,0,0.2637539603731514,0.062111801242236,0.6818181818181818,0.0325379609544468,461.0,22.0,15.0,7.0,446.0,4959.0,0.2016772108135203,0.0256410256410256,0.8571428571428571,0.0130151843817787,461.0,7.0,6.0,1.0,455.0,6513.0,0.1770901918714527,0.0043290043290043,1.0,0.0021691973969631,461.0,1.0,1.0,0.0,460.0,6611.0,0.110499040882056,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7168.0,0.1031308493502321,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7278.0,0.0981139311236758,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7290.0,0.0730449243271058,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7303.0,0.0679174366347094,0.0,0.0,0.0,461,0,0,0,461,7304
3,Anticipation,0,0.9421091486466272,0.9002406475607089,0.8805906270062058,0.9207876482434548,4469.0,4673.0,4115.0,558.0,354.0,400.0,0.731395035533604,0.7873110101103794,0.6723700887198986,0.9496531662564331,4469.0,6312.0,4244.0,2068.0,225.0,438.0,0.7276642687479451,0.7840701497990502,0.6624479086278747,0.9603938241217276,4469.0,6479.0,4292.0,2187.0,177.0,416.0,0.7001412359421414,0.7415805268422806,0.5909392852398033,0.9953009621839336,4469.0,7527.0,4448.0,3079.0,21.0,81.0,0.6819029154545317,0.7324751988193818,0.578027950310559,0.999552472588946,4469.0,7728.0,4467.0,3261.0,2.0,9.0,0.6536215182611989,0.7314238952536825,0.5765707650625725,1.0,4469.0,7751.0,4469.0,3282.0,0.0,0.0,0.6299889340293707,0.7306466116242949,0.5756053580628542,1.0,4469.0,7764.0,4469.0,3295.0,0.0,0.0,0.5881083913482543,0.7305868889978747,0.5755312298776561,1.0,4469,7765,4469,3296,0,0
4,Aversion,0,0.1250114503103207,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,5148.0,0.099358454392062,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6696.0,0.0794059293093431,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6793.0,0.0672094327444606,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7350.0,0.0647093863200903,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7460.0,0.0615890009900718,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7472.0,0.0497203131646684,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7485.0,0.0432754785880132,0.0,0.0,0.0,279,0,0,0,279,7486
5,Confidence,1,,,,,,,,,,,0.8513717755503201,0.7826789138992631,0.6964253637506737,0.8933179723502304,4340.0,5567.0,3877.0,1690.0,463.0,945.0,0.8494095029639648,0.7783546325878594,0.6867512332628611,0.8981566820276498,4340.0,5676.0,3898.0,1778.0,442.0,954.0,0.8187485731433307,0.7371886120996443,0.6004347826086956,0.9546082949308756,4340.0,6900.0,4143.0,2757.0,197.0,532.0,0.7961793840541017,0.7238192147884337,0.5726553065879512,0.983410138248848,4340.0,7453.0,4268.0,3185.0,72.0,214.0,0.7632462925298226,0.7185093167701864,0.5608274078862314,0.9995391705069124,4340.0,7735.0,4338.0,3397.0,2.0,14.0,0.7141029640962278,0.7171775592828226,0.5590622182146078,1.0,4340.0,7763.0,4340.0,3423.0,0.0,1.0,0.5503591503533254,0.7171183079973563,0.5589902112313241,1.0,4340,7764,4340,3424,0,1
6,Disapproval,1,,,,,,,,,,,0.1882153541305599,0.1330798479087452,0.3684210526315789,0.0812064965197215,431.0,95.0,35.0,60.0,396.0,6484.0,0.1675838688007953,0.0929292929292929,0.359375,0.0533642691415313,431.0,64.0,23.0,41.0,408.0,6600.0,0.1037451018786016,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7198.0,0.0938079175658812,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7308.0,0.092386596493216,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7320.0,0.0669153229610135,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7333.0,0.061674451577737,0.0,0.0,0.0,431,0,0,0,431,7334
7,Disconnection,1,,,,,,,,,,,0.3713894582094031,0.2779628748215136,0.4424242424242424,0.2026370575988896,1441.0,660.0,292.0,368.0,1149.0,5166.0,0.3511906547897584,0.2413625304136253,0.4039087947882736,0.1721027064538514,1441.0,614.0,248.0,366.0,1193.0,5265.0,0.2873066425066571,0.102502979737783,0.3628691983122363,0.0596807772380291,1441.0,237.0,86.0,151.0,1355.0,6037.0,0.2292986863764485,0.0040983606557377,0.1304347826086956,0.0020818875780707,1441.0,23.0,3.0,20.0,1438.0,6278.0,0.2151615050666178,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6310.0,0.1902939075067984,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6323.0,0.1516964590683694,0.0,0.0,0.0,1441,0,0,0,1441,6324
8,Disquietment,2,,,,,,,,,,,,,,,,,,,,,0.1421797168249392,0.1754038905374217,0.137396694214876,0.2424794895168641,1097.0,1936.0,266.0,1670.0,831.0,4305.0,0.1285952001937882,0.1598062953995157,0.12876254180602,0.2105742935278031,1097.0,1794.0,231.0,1563.0,866.0,4969.0,0.1218693113032661,0.0787844682048396,0.1029411764705882,0.0638103919781221,1097.0,680.0,70.0,610.0,1027.0,6032.0,0.1317158962320037,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6654.0,0.1330693266103229,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6667.0,0.1404316857512239,0.0,0.0,0.0,1097,0,0,0,1097,6668
9,Doubt/Confusion,2,,,,,,,,,,,,,,,,,,,,,0.1682928588004614,0.2504435994930292,0.1665542818610924,0.5045965270684372,979.0,2966.0,494.0,2472.0,485.0,3621.0,0.1514613945161289,0.2404221151640284,0.1550295857988165,0.5352400408580184,979.0,3380.0,524.0,2856.0,455.0,3794.0,0.149488262052434,0.232090284592738,0.1527284468840813,0.4831460674157303,979.0,3097.0,473.0,2624.0,506.0,4136.0,0.1411877378981554,0.2080959520239879,0.147283531409168,0.3544433094994892,979.0,2356.0,347.0,2009.0,632.0,4763.0,0.1376549677016468,0.1903476206547418,0.1421370967741935,0.2880490296220633,979.0,1984.0,282.0,1702.0,697.0,5083.0,0.13823150496438,0.1747951619196254,0.1414141414141414,0.2288049029622063,979,1584,224,1360,755,5426
