class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
0,Affection,0,0.5051851678714891,0.3851687880464859,0.5918367346938775,0.2854799015586546,1219.0,588.0,348.0,240.0,871.0,3968.0,0.4103522853221987,0.3402173913043478,0.5040257648953301,0.2567678424938474,1219.0,621.0,313.0,308.0,906.0,5448.0,0.4064003651475851,0.3110599078341013,0.5222437137330754,0.2214930270713699,1219.0,517.0,270.0,247.0,949.0,5606.0,0.3561755043326947,0.1391941391941392,0.6506849315068494,0.0779327317473338,1219.0,146.0,95.0,51.0,1124.0,6359.0,0.3155711596076322,0.0445859872611465,0.7567567567567568,0.0229696472518457,1219.0,37.0,28.0,9.0,1191.0,6511.0,0.3038679002836863,0.0081566068515497,0.7142857142857143,0.0041017227235438,1219.0,7.0,5.0,2.0,1214.0,6530.0,0.2826635092963411,0.0081499592502037,0.625,0.0041017227235438,1219.0,8.0,5.0,3.0,1214.0,6542.0,0.2358793701790644,0.0,0.0,0.0,1219,0,0,0,1219,6546
1,Anger,0,0.2168080158485537,0.0333333333333333,1.0,0.0169491525423728,177.0,3.0,3.0,0.0,174.0,5250.0,0.1573691104439188,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6798.0,0.1281693134016618,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6895.0,0.0807838038996095,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7452.0,0.0618296313068053,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7562.0,0.0667619651647572,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7574.0,0.0632818807260845,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7587.0,0.057013647958675,0.0,0.0,0.0,177,0,0,0,177,7588
2,Annoyance,0,0.2753388576887082,0.0622406639004149,0.7142857142857143,0.0325379609544468,461.0,21.0,15.0,6.0,446.0,4960.0,0.2322812917969291,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6514.0,0.211289235849098,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6611.0,0.1539927886439795,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7168.0,0.1318274081741803,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7278.0,0.1338539264497868,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7290.0,0.1266533487226588,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7303.0,0.1146135131089679,0.0,0.0,0.0,461,0,0,0,461,7304
3,Anticipation,0,0.9364604983120548,0.8774587384128419,0.8866803746858579,0.8684269411501454,4469.0,4377.0,3881.0,496.0,588.0,462.0,0.7216252697295656,0.7637686860739575,0.6813476048429549,0.8688744685611993,4469.0,5699.0,3883.0,1816.0,586.0,690.0,0.7215216939304931,0.7628685414031332,0.6749311294765841,0.877153725665697,4469.0,5808.0,3920.0,1888.0,549.0,715.0,0.6962349039947416,0.7413562047708389,0.6170434265318263,0.9283956142313716,4469.0,6724.0,4149.0,2575.0,320.0,585.0,0.6926497971357247,0.7396998872408709,0.6039660056657223,0.9541284403669724,4469.0,7060.0,4264.0,2796.0,205.0,474.0,0.6935745867644326,0.7354618986802894,0.5935953820780648,0.9664354441709556,4469.0,7276.0,4319.0,2957.0,150.0,325.0,0.6855988342376511,0.7373469212982787,0.5972530521642619,0.963302752293578,4469.0,7208.0,4305.0,2903.0,164.0,392.0,0.678469716207526,0.7366296670030272,0.5900579280614306,0.9800850302081002,4469,7423,4380,3043,89,253
4,Aversion,0,0.1334653506484079,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,5148.0,0.1115100281117556,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6696.0,0.0988158005316207,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6793.0,0.0809411497099034,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7350.0,0.0763091862443259,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7460.0,0.0800985765652156,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7472.0,0.0773155549883911,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7485.0,0.0699980293512194,0.0,0.0,0.0,279,0,0,0,279,7486
5,Confidence,1,,,,,,,,,,,0.8204721203766755,0.7707205331112037,0.7030775075987842,0.8527649769585254,4340.0,5264.0,3701.0,1563.0,639.0,1072.0,0.8169364198295442,0.7717885171416768,0.6992889221556886,0.8610599078341014,4340.0,5344.0,3737.0,1607.0,603.0,1125.0,0.8121428823653132,0.7455217514927496,0.6332313637095476,0.906221198156682,4340.0,6211.0,3933.0,2278.0,407.0,1011.0,0.799723474008008,0.7410935067313856,0.6149870801033591,0.932258064516129,4340.0,6579.0,4046.0,2533.0,294.0,866.0,0.8080294654785122,0.7364685004436556,0.5988455988455988,0.956221198156682,4340.0,6930.0,4150.0,2780.0,190.0,631.0,0.7916759583018346,0.7368515045986249,0.6015454147834961,0.9506912442396314,4340.0,6859.0,4126.0,2733.0,214.0,691.0,0.7843037220840868,0.7312429033103328,0.5888310592207061,0.964516129032258,4340,7109,4186,2923,154,502
6,Disapproval,1,,,,,,,,,,,0.2387863388672507,0.2240527182866556,0.3863636363636363,0.1577726218097447,431.0,176.0,68.0,108.0,363.0,6436.0,0.2172823687011181,0.1749571183533447,0.3355263157894737,0.1183294663573085,431.0,152.0,51.0,101.0,380.0,6540.0,0.1597759198465689,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7198.0,0.1333555379256946,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7308.0,0.1330012732804467,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7320.0,0.1307284034713089,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7333.0,0.1197341065778079,0.0,0.0,0.0,431,0,0,0,431,7334
7,Disconnection,1,,,,,,,,,,,0.350522930763192,0.3396518375241779,0.3837412587412587,0.3046495489243581,1441.0,1144.0,439.0,705.0,1002.0,4829.0,0.3467637482524252,0.3063063063063063,0.401123595505618,0.2477446217904233,1441.0,890.0,357.0,533.0,1084.0,5098.0,0.2978047333061717,0.128628343767786,0.3575949367088608,0.0784177654406662,1441.0,316.0,113.0,203.0,1328.0,5985.0,0.2961317339521979,0.0886153846153846,0.391304347826087,0.0499653018736988,1441.0,184.0,72.0,112.0,1369.0,6186.0,0.2730655747590066,0.0082530949105914,0.4615384615384615,0.0041637751561415,1441.0,13.0,6.0,7.0,1435.0,6303.0,0.2660231963025076,0.0055210489993098,0.5,0.0027758501040943,1441.0,8.0,4.0,4.0,1437.0,6319.0,0.2566225745536092,0.0,0.0,0.0,1441,0,0,0,1441,6324
8,Disquietment,2,,,,,,,,,,,,,,,,,,,,,0.1909476659346057,0.1636463481603514,0.2058011049723757,0.1358249772105743,1097.0,724.0,149.0,575.0,948.0,5400.0,0.1648470341387957,0.0,0.0,0.0,1097.0,2.0,0.0,2.0,1097.0,6530.0,0.1709183374028564,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6642.0,0.1651280365455298,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6654.0,0.1573978439650759,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6667.0,0.1565384369081262,0.0,0.0,0.0,1097,0,0,0,1097,6668
9,Doubt/Confusion,2,,,,,,,,,,,,,,,,,,,,,0.147546684654152,0.218215019401963,0.1405055849500294,0.4882533197139939,979.0,3402.0,478.0,2924.0,501.0,3169.0,0.1299246576474293,0.1876344086021505,0.1273257935060197,0.3564862104187947,979.0,2741.0,349.0,2392.0,630.0,4258.0,0.1180481438447687,0.1605970149253731,0.1134542387178405,0.2747701736465781,979.0,2371.0,269.0,2102.0,710.0,4658.0,0.1200982928420346,0.1600263417846559,0.1180758017492711,0.2482124616956077,979.0,2058.0,243.0,1815.0,736.0,4957.0,0.1241751967273818,0.1597975415762834,0.123670956911024,0.2257405515832482,979.0,1787.0,221.0,1566.0,758.0,5219.0,0.1321991982879713,0.1675126903553299,0.1429602888086642,0.2022471910112359,979,1385,198,1187,781,5599
