class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
0,Affection,0,0.366498412158128,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,4208.0,0.2841737197572482,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,5756.0,0.2525180921834942,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,5853.0,0.2220286731822653,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6410.0,0.1868692775130877,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6520.0,0.1713054571814216,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6532.0,0.1418139734299476,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6545.0,0.1466209468898571,0.0,0.0,0.0,1219,0,0,0,1219,6546
1,Anger,0,0.0940471554698422,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,5250.0,0.0995588897509423,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6798.0,0.0759438737694381,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6895.0,0.0394346864369015,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7452.0,0.0316937132091874,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7562.0,0.0272504850027167,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7574.0,0.0267639623714866,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7587.0,0.0258637052003566,0.0,0.0,0.0,177,0,0,0,177,7588
2,Annoyance,0,0.1610590588811931,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,4966.0,0.1496065943351598,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6514.0,0.1358426950666179,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6611.0,0.0861310008716643,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7168.0,0.0744804379941518,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7278.0,0.0640032429166243,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7290.0,0.0620953669674297,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7303.0,0.059216676741972,0.0,0.0,0.0,461,0,0,0,461,7304
3,Anticipation,0,0.919663440132338,0.9048488537228646,0.8276118018185192,0.9979861266502572,4469.0,5389.0,4460.0,929.0,9.0,29.0,0.7195006026852726,0.7629989105674954,0.6844349680170576,0.8619377936898635,4469.0,5628.0,3852.0,1776.0,617.0,730.0,0.6812216688215919,0.1791219512195122,0.6996951219512195,0.1027075408368762,4469.0,656.0,459.0,197.0,4010.0,2406.0,0.6639953695829437,0.0057958091841284,0.7647058823529411,0.0029089281718505,4469.0,17.0,13.0,4.0,4456.0,3156.0,0.6209546628747025,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3270.0,0.6224600589009599,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3282.0,0.6163358012436032,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3295.0,0.596683102373978,0.0,0.0,0.0,4469,0,0,0,4469,3296
4,Aversion,0,0.0970426804837935,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,5148.0,0.0799846823050391,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6696.0,0.0643424473979922,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6793.0,0.0544172320296487,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7350.0,0.0465221116957142,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7460.0,0.0408697224182288,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7472.0,0.0397837711469172,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7485.0,0.0358803451657805,0.0,0.0,0.0,279,0,0,0,279,7486
5,Confidence,1,,,,,,,,,,,0.8466264971632991,0.7178562226230352,0.8141437755698422,0.6419354838709678,4340.0,3422.0,2786.0,636.0,1554.0,1999.0,0.7845046786795293,0.0435955056179775,0.8818181818181818,0.0223502304147465,4340.0,110.0,97.0,13.0,4243.0,2719.0,0.7809865211491596,0.0182440136830102,0.8888888888888888,0.0092165898617511,4340.0,45.0,40.0,5.0,4300.0,3284.0,0.7431056826727609,0.0009212344541685,1.0,0.0004608294930875,4340.0,2.0,2.0,0.0,4338.0,3399.0,0.7355964252016256,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3411.0,0.6983190237368893,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3424.0,0.6439137817920647,0.0,0.0,0.0,4340,0,0,0,4340,3425
6,Disapproval,1,,,,,,,,,,,0.1037394318259071,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,6544.0,0.0868134328807649,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,6641.0,0.0729924517450551,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7198.0,0.0642801493427588,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7308.0,0.0568349757106195,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7320.0,0.0556728587548188,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7333.0,0.0551586562108458,0.0,0.0,0.0,431,0,0,0,431,7334
7,Disconnection,1,,,,,,,,,,,0.3290737818104611,0.4026309607704956,0.3043323863636363,0.5947258848022207,1441.0,2816.0,857.0,1959.0,584.0,3575.0,0.2542043877408054,0.0134952766531713,0.2439024390243902,0.0069396252602359,1441.0,41.0,10.0,31.0,1431.0,5600.0,0.2026989749272389,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6188.0,0.1811067908394966,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6298.0,0.1691574769893009,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6310.0,0.1610917008642424,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6323.0,0.1476174494485692,0.0,0.0,0.0,1441,0,0,0,1441,6324
8,Disquietment,2,,,,,,,,,,,,,,,,,,,,,0.1359745885454293,0.1736407628807287,0.1262417218543046,0.2780309936189608,1097.0,2416.0,305.0,2111.0,792.0,3864.0,0.1370526333505799,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6532.0,0.142429470982336,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6642.0,0.1415785980315578,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6654.0,0.1398913041174752,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6667.0,0.1365688959288711,0.0,0.0,0.0,1097,0,0,0,1097,6668
9,Doubt/Confusion,2,,,,,,,,,,,,,,,,,,,,,0.1458749628544274,0.2431996025338467,0.138433257918552,1.0,979.0,7072.0,979.0,6093.0,0.0,0.0,0.1274198443247491,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6650.0,0.1258927670214176,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6760.0,0.1218847126539053,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6772.0,0.1204950168888645,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6785.0,0.1175203311937605,0.0,0.0,0.0,979,0,0,0,979,6786
